No;TEAM ;PLAYER;POSITION;GP;GS;Min;PTS;2P%;3P%;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
37;FC BARCELONA;NICOLAS LAPROVITTOLA;Guard;39;39;23:43:00;10,4;47,9;41,8;86,8;0,6;1,6;2,2;4,6;0,7;2,2;0;0,2;2,7;2,7;11,1
38;FC BARCELONA;ALEX ABRINES;Forward;35;10;17:34:00;7,4;39,1;47,8;85,3;0,5;1,5;2;0,9;0,6;0,6;0,1;0,1;2,4;1,3;6,4
39;FC BARCELONA;CORY HIGGINS;Guard;32;0;19:49:00;8,7;46,9;34,9;84;0,5;1,8;2,2;1,7;0,8;1,6;0,1;0,3;2,1;3,4;8,7
40;FC BARCELONA;MIKE TOBEY;Center;31;12;13:56:00;5,9;72,6;41,2;100;1;1,9;2,9;0,5;0,2;0,4;0,2;0,1;1,7;0,5;6
41;FC BARCELONA;KYLE KURIC;Forward;22;5;13:35:00;5;43,8;43,6;90,9;0,5;0,7;1,2;0,5;0,7;0,4;0;0;0,9;0,8;4,7
42;FC BARCELONA;ROKAS JOKUBAITIS;Guard;39;0;14:46:00;5,3;41,7;41,3;77,6;0,3;1,7;2;2,6;0,3;1;0,1;0,3;1,2;1,8;6,6
43;FC BARCELONA;NIKOLA MIROTIC;Forward;29;29;24:58:00;15,4;60,3;39,2;80,4;1,5;2,8;4,3;1,2;1;1,4;0,4;0,2;1,9;3,5;16,4
44;FC BARCELONA;JAMES NNAJI;Center;19;0;6:27:00;2;76,2;0;46,2;0,5;0,8;1,3;0,4;0;0,7;0,5;0;0,9;0,8;2,7
45;OLYMPIAKOS;THOMAS WALKUP;Guard;41;41;25:05:00;7,3;54,1;33,3;85,4;0,6;2,1;2,8;6,6;1,8;1,9;0,1;0,1;2,4;1,9;11,5
46;OLYMPIAKOS;ISAIAH CANAAN ;Guard;39;36;16:06:00;6,3;40,5;38,2;66,7;0,3;0,7;1;0,9;0,6;0,8;0,1;0,2;1,9;1;3,4
47;OLYMPIAKOS;MICHALIS LOUNTZIS;Guard;20;0;6:43:00;1,6;50;35,7;66,7;0,1;1,2;1,2;0,5;0,6;0,6;0,1;0;0,5;0,5;2,5
48;OLYMPIAKOS;GIANNOULIS LARENTZAKIS;Guard;41;0;14:24:00;6,4;48,4;37,4;72,9;0,3;1,4;1,8;1;0,5;1;0;0,1;2,1;1,7;4,8
49;OLYMPIAKOS;GEORGE PAPAS;Guard;2;0;3:01:00;3,5;33,3;100;100;0;0,5;0,5;0;0;0;0;0;0,5;0,5;3
50;OLYMPIAKOS;MOUSTAPHA FALL;Center;40;39;22:02:00;7,2;72,2;0;52,3;1,7;3,2;4,9;2,1;0,6;1,4;0,8;0,2;2,2;2,7;12,2
51;OLYMPIAKOS;KOSTAS SLOUKAS;Guard;36;0;22:50:00;11;53;32,5;90,6;0,1;1,9;2,1;5,6;0,3;2,1;0,1;0,2;1,4;3,8;14,7
52;OLYMPIAKOS;SASHA VEZENKOV;Forward;40;39;29:14:00;17,6;65,5;37,8;87,9;1,6;5,2;6,8;1,9;0,9;1;0,2;0,2;1,6;2,8;21,5
53;OLYMPIAKOS;KOSTAS PAPANIKOLAU;Forward;38;38;25:20:00;8,7;64,7;42,9;72,9;0,7;3;3,8;1,9;0,7;1,4;0,2;0,2;1,6;1,6;10,3
54;OLYMPIAKOS;PANAGIOTIS TSAMIS ;Forward;1;0;1:18:00;2;100;0;0;0;0;0;0;0;0;0;0;0;0;2
55;OLYMPIAKOS;JOEL BOLOMBOY ;Center;35;1;11:18:00;3,8;60,5;50;67,4;1,2;1,8;3;0,5;0,2;0,7;0,3;0,2;1,5;1,4;5,4
56;OLYMPIAKOS;ALEC PETERS;Forward;37;3;13:13:00;4,6;44,3;41,1;96,4;0,6;1,8;2,5;0,4;0,4;0,6;0,1;0,2;1,5;0,9;4,5
57;OLYMPIAKOS;TARIK BLACK;Center;35;1;10:21:00;4,4;63;0;67,5;1;0,7;1,7;0,5;6;0,9;0,3;0,1;2,3;2,1;4,9
58;OLYMPIAKOS;SHAQUIELLE MCKISSIC;Guard;41;7;17:40:00;9;68,1;31,9;68,4;0,4;1;1,4;1,5;0,8;0,9;0;0,2;1,1;2;8,9
59;OLYMPIAKOS;VENIAMIN ABOSI ;Forward;1;0;1:26:00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-1
